char,dialog,movie
"
GALADRIL:","
    The power of the three rings is ended. The time has come for the dominion of 
    men. ,
 ",The Return of the King Movie Script
"
ELROND:","
     I Aear c�n ven na mar. ,
 ",The Return of the King Movie Script
"
BILBO:","
    I think I�m quite ready for another adventure. ,
 ",The Return of the King Movie Script
"
GANDALF: ","
    Farewell my brave Hobbits. , My work is now finished.
    ,Here at last, on the 
    shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all 
    tears are an evil. , It is time Frodo.
    ,
 ",The Return of the King Movie Script
"
SAM: ","
    What does he mean? ,
 ",The Return of the King Movie Script
"
FRODO: ","
    We set out to save the Shire Sam and it has been saved, but not for me. ,
 ",The Return of the King Movie Script
"
SAM:","
    , You don�t mean that. You can�t 
    leave.,
 ",The Return of the King Movie Script
"
FRODO: ","
    The last pages are for you Sam. ,
 ",The Return of the King Movie Script
SARUMAN: ,"So you have come here for information. I have some for you.
    ,Something festers in the heart of Middle 
Earth. Something that you have failed to see. But the great eye has seen it! 
Even now he presses his advantage. His attack will come soon. 
    , ,
    You are all going to die! But you know this don�t you Gandalf? You 
cannot think that this Ranger will ever sit upon the throne of Gondor. This 
exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him� those he 
professes to love! Tell me, what words of comfort did you give the Halfling 
before you sent him to his doom? The path that you have set him on can only lead 
to death. ,
 ",The Return of the King Movie Script
GIMLI:,"I�ve heard enough! Shoot him! Stick an arrow in his gob! ,
 ",The Return of the King Movie Script
GANDALF:,"No! Come down Saruman and your life will be spared! ,
 ",The Return of the King Movie Script
SARUMAN:,"Save your pity and your mercy. I have no use for it!
    ",The Return of the King Movie Script
GANDALF:,"Saruman�.. your staff is broken! ,
 ",The Return of the King Movie Script
THEODEN:,"Grima! You need not follow him! You were not always as you are now. 
You were once a man of Rohan. Come down. ,
 ",The Return of the King Movie Script
SARUMAN:,"A man of Rohan? What is the house of Rohan but a thatched barn where 
brigands drink in the reek and their brats roll on the floor with the dogs? The 
victory at Helms Deep does not belong to you Theoden Horse Master. You are a 
lesser son of greater sires! ,
 ",The Return of the King Movie Script
THEODEN:,"Grima�. Come down! Be free of him! ,
 ",The Return of the King Movie Script
SARUMAN:,"Free? He will never be free!,
 ",The Return of the King Movie Script
GRIMA: ,"No! ,
 ",The Return of the King Movie Script
