char,dialog
"SARUMAN:,We have work to do,
 ","We have work to do,
 "
"ORC:,The trees are strong my Lord.  The roots go deep,
 ","The trees are strong my Lord.  The roots go deep,
 "
"SARUMAN:,Rip them all down ,
 ","Rip them all down ,
 "
"STRIDER:,This was the great watch tower of Amon
    ","This was the great watch tower of Amon
    "
"STRIDER:, These are for you.  
    Keep them close, I'm going to have a look round,  Stay here
    "," These are for you.  
    Keep them close, I'm going to have a look round,  Stay here
    "
"MERRY:,My tomato's burst!,
 ","My tomato's burst!,
 "
"PIPPIN:,Can I have some bacon?,
 ","Can I have some bacon?,
 "
"MERRY:,OK.  Want a tomato Sam ?,
 ","OK.  Want a tomato Sam ?,
 "
LEGOLAS:,"This forest is old.
Very old.
Full of memory......and anger.,
 "
LEGOLAS:,"The trees are speaking to each other.,
 "
ARAGORN:,"Gimli!
Lower your axe.,
 "
GIMLI:," 
    oh!,
 "
LEGOLAS:,"They have feelings, my friend.
The Elves began it.
Waking up the trees,
teaching them to speak.,
 "
GIMLI:,"Talking trees.
What do trees have to talk about?
Except the consistency
of squirrel droppings.,
 "
LEGOLAS:,"Aragorn, nad no ennas "
ARAGORN:,Man cenich? 
LEGOLAS:,"The White Wizard approaches.,
 "
ARAGORN:,"Do not let him speak.
He will put a spell on us.,
 "
ARAGORN:,"We must be quick.,
 "
FRODO:,"Mordor, Gandalf, is it left or right ?,
 "
GANDALF:," 
    Left.,
 "
GANDALF VOICEOVER:,"We must hold this course west of the Misty Mountains for 
    forty days. If our luck holds the Gap of Rohan will still be open to us.
    , and there are 
    road turns east to Mordor.,
 "
BOROMIR:,"Good, very good. ,
 "
ARAGORN:,"Move your feet,
 "
MERRY:,"You look good Pippin,
 "
PIPPIN:," 
    Thanks ,
 "
GIMLI:," If 
    anyone was to ask for my opinion, which I note that they're not, I'd say 
    that we were taking the long way round. Gandalf, we could pass through the 
    Mines of Moria.  My cousin Balin would give us a royal welcome. ,
 "
GANDALF:,"No Gimli, I would not take the road through Moria unless I 
    had no other choice.,
 "
PIPPIN:,"ARGH!,
 "
BOROMIR:,"Sorry! ,
 "
MERRY:,"Get him! ,
 "
PIPPIN:,"For the Shire.  Hold him, hold him down Merry!
    ,
 "
ARAGORN:,"The same blood flows in my veins , The same weakness ,
 "
ARWEN:," Your time 
    will come.  You will face the same evil and you will defeat it   
    A si i-Dh�ath �-orthor, Aragorn. � or le a � or nin. "
ARWEN:,"Renech i lu i erui govannen? (,),
 "
ARAGORN:,Nauthannem i ned ol reniannen.
ARWEN:,"Gwenwin in enninath...U-arnech in naeth i si celich. (,) Renech i beth i 
    pennen? ,
 "
ARAGORN:,"You said you would bind yourself to 
    me,foresaking 
    the immortal life of your people,
 "
ARWEN:,"and to that I hold.  I would rather share one lifetime 
    with you than face all the ages of this world alone ,
 "
ARWEN:,"I choose a mortal life,
 "
ARAGORN:,"You cannot give me this,
 "
ARWEN:,"It is mine to give to whom I will.  Like my heart
    ,
 "
ELROND:,"Strangers from distant lands, friends of old.  You have 
    been summoned here to answer the threat of Mordor.  Middle Earth stands 
    upon the brink of destruction.  None can escape it.  You will 
    unite or you will fall.  Each race is bound to this fate, this one 
    doom., Bring forth the Ring, Frodo,
 "
BOROMIR:," So 
    it's true ,
 "
BOROMIR:,"In a dream , I saw the Eastern sky grow dark ,In the West a pale light lingered A 
    voice was crying, your doom is near at hand , Isildur's bane is found
    , Isildur's Bane,
 "
ELROND:,"Boromir!,
 "
GANDALF:,"Ash nazg durbatul�k, ash nazg gimbatul,
    ,
    ash nazg thrakatul�k ,agh burzum-ishi krimpatul.
    "
"
ARAGORN:","
    Et E�rello Endorenna ut�lien. Sinome maruvan ar Hildinyar tenn� Ambar-metta!
    ,
 "
"
ARAGORN:","
    Hannon le. "
"
ARAGORN:","
    My friends, , you bow to 
    no-one. ,
 "
"
FRODO: ","
    ,And thus 
    it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring, 
    though eternally bound by friendship and love was ended.
    ,
    ,
    Thirteen months to the day since Gandalf sent us on our long journey we find 
    ourselves looking upon a familiar sight. ,
 "
"
FRODO: ","
    We were home. ,
 "
"
PIPPIN: ","
    Alright! ,
 "
"
HOBBIT:","
    Hey watch the pumpkin.,
 "
"
ROSIE:","
    Goodnight lads. ,
 "
"
PIPPIN:","
    Hmm? ,
 "
"
FRODO:","
    How do you pick up the threads of an old life? How do you go on, when in 
    your heart you begin to understand there is no going back? There are some 
    things that time cannot mend. Some hurts that go too deep, that have taken 
    hold.,
 "
"
SAM: ","
    Mr Frodo? What is it? ,
 "
"
FRODO:","
    It�s been four years to the day since Weathertop Sam. It�s never really 
    healed. ,
 "
"
SAM:","
    , There and Back Again, a Hobbits tale 
    by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished 
    it.,
 "
"
FRODO:","
    Not quite. There�s room for a little more. ,
 "
GANDALF:,"Frodo, come and help an old man ,How's your shoulder?,
 "
"
GOLLUM:","
    Yeees! , Yeees!
    , Precious! My Precious!
    ,
 "
"
SAM: ","
    Give me your hand. ,
 "
"
SAM:","
    Take my hand. ,
 "
"
SAM:","
    No! , Don�t you let go! Don�t let go! Reeeaaach!
    ,
 "
"
MERRY:","
    Frodo! ,Frodo!
    ,
 "
"
PIPPIN:","
    Frodo.,
 "
"
FRODO:","
    It�s gone. , It�s done.,
 "
"
SAM: ","
    Yes Mr Frodo. It�s over now.,
 "
"
FRODO:","
    I can see the Shire. The Brandywine River. Bag End. Gandalf�s fireworks. The 
    lights on the party tree.,
 "
"
SAM:","
    Rosie Cotton dancing. , 
    She had ribbons in her hair. If ever I was to marry someone, it would have 
    been her. , It would�ve been her. ,
 "
"
FRODO:","
     I�m glad to be with you Samwise Gamgee here at the end of all things. 
    They hug.,
 "
"FRODO:,  
    What are you doing ?,
 ","  
    What are you doing ?,
 "
"MERRY:, Tomatoes, sausages, nice crispy bacon,
 "," Tomatoes, sausages, nice crispy bacon,
 "
"SAM:, Saved 
    some for you Mr Frodo,
 "," Saved 
    some for you Mr Frodo,
 "
"FRODO:,Put it out you fools! , Put it out!,
 ","Put it out you fools! , Put it out!,
 "
"PIPPIN:,Well that's nice! That's nice!  Ash on my tomatoes!,
 ","Well that's nice! That's nice!  Ash on my tomatoes!,
 "
"FRODO:,Go!,
 ","Go!,
 "
"SAM:,Backl you Devils! ,
 ","Backl you Devils! ,
 "
"SAM:, 
    Frodo!,
 "," 
    Frodo!,
 "
"FRODO:,Oh Sam! ,
 ","Oh Sam! ,
 "
"SAM:,Strider! ,
    Help him Strider!,
 ","Strider! ,
    Help him Strider!,
 "
"STRIDER:,  He's been stabbed by a Morgul blade.
    , This is beyond my skill to heal.  He needs 
    elvish medicine ,
 ","  He's been stabbed by a Morgul blade.
    , This is beyond my skill to heal.  He needs 
    elvish medicine ,
 "
"STRIDER:,Hurry!,
 ","Hurry!,
 "
"SAM:,It's six days from Rivendell! He'll never make it! ,
 ","It's six days from Rivendell! He'll never make it! ,
 "
"STRIDER:,Frodo Frodo,
 ","Frodo Frodo,
 "
"FRODO VOICE:,GANDALF!,
 ","GANDALF!,
 "
WHITE WIZARD:,"
You are tracking the footsteps
of two young Hobbits.,
 "
ARAGORN:,"Where are they?,
 "
ARAGORN:,"Who are you?
Show yourself!,
 "
ARAGORN:,"It cannot be.,
 "
LEGOLAS:,"Forgive me.,
 "
LEGOLAS:,"I mistook you for Saruman.,
 "
GANDALF:,"I am Saruman.
Or rather, Saruman
as he should have been.,
 "
ARAGORN:,"You fell.,
 "
GANDALF:,Through fire.....and water.
GANDALF VOICEOVER:,"From the lowest dungeon
to the highest peak...... I fought with the Balrog
of Morgoth.,
 "
GANDALF VOICE OVER:,"Until at last I threw down
my enemy......and smote his ruin
upon the mountainside.,
 "
GANDALF VOICE OVER:,"Darkness took me......and I strayed out of thought
and time.,
 "
GANDALF VOICE OVER:,"Stars wheeled overhead......and every day was as long
as a life age of the Earth.
But it was not the end.
I felt life in me again.,
 "
GANDALF:,"
I've been sent back...... until my task is done.,
 "
"
ARAGORN: ","
     Pull back! Pull back!,
       "
"
SAM:","
    It�s gone Mr Frodo. The light�s passed on, away towards the North. 
    Something�s drawn its gaze.,
 "
"
ARAGORN: ","
    Hold your ground! Hold your ground! ,
 "
"
ARAGORN:","
    Sons of Gondor, of Rohan, my brothers. (They listen to him.) I see it in 
    your eyes, the same fear that would take the heart of me. A day may come 
    when the courage of men fails, when we forsake our friends and break all 
    bonds of fellowship, but it is not this day! An hour of wolves and shattered 
    shields when the age of men comes crashing down, but it is not this day! 
    This day we fight! ,
 "
"
ARAGORN:","
    By all that you hold dear on this good earth, I bid you stand! Men of the 
    West!,
 "
"
GIMLI:","
     Never thought I�d die fighting side by side with an elf. ,
 "
"
LEGOLAS:","
    What about side by side with a friend? , ,
 "
"
GIMLI:","
    Aye! I could do that.,
 "
"
SAM:","
    Do you remember the Shire Mr Frodo? It will be Spring soon and the orchards 
    will be in blossom. And the birds will be nesting in the hazel thickets. (He 
    is crying.) And they will be sowing the summer barley in the lower fields, 
    (Frodo opens his eyes and looks at him.) and eating the first of the 
    strawberries and cream. Do you remember the taste of strawberries? ,
 "
"
LEGOLAS:","
     Fifteen, sixteen. ,
 "
"
EOWYN:","
  Merry!,
     "
"
ARAGORN:","
     Legolas! ,
      "
"
LEGOLAS: ","
  Thirty three, thirty four.,
     "
"
GIMLI:","
  That still only counts as one! ,
     "
"
ORC: ","
  Come on then , come on! ,
     "
"
THEODEN:","
  I know your face, Eowyn. ,  My eyes darken.,
     "
"
EOWYN:","
  No, no.  I�m going to save you. ,
     "
"
THEODEN: ","
  You already did.  Eowyn, my body is broken.  You have to let me go. ,
     "
ARAGORN:,"Gentlemen, that's enough! ,
 "
PIPPIN:,"You've got my arm... argh!... you've got my arm,
 "
SAM:,"What is that ?,
 "
GIMLI:,"Nothing, its just a whisp of cloud,
 "
BOROMIR:,"Its moving fast.... against the wind,
 "
LEGOLAS:,"Crebain! From Dudland!,
 "
ARAGORN:,"Hide! ,
 "
BOROMIR:,"Hurry!,
 "
ARAGORN:," Frodo! Take 
    cover!,
 "
GANDALF:,"Spies of Saruman.  The passage south is being watched
    ,  We must take the 
    Pass of Caradhras ,
 "
ARAGORN:,"Frodo! ,
 "
ARAGORN:,"Boromir ,
 "
BOROMIR:,"It is a strange fate that we should suffer so much fear and 
    doubt over so small a thing ,such a little thing ,
 "
ARAGORN:," Boromir!
    , 
    Give the Ring to Frodo ,
 "
BOROMIR:," as you wish! I care not ,
 "
ELROND:," Never 
    before has anyone uttered words of that tongue here in Imladris,
 "
GANDALF:,"I do not ask your pardon Master Elrond for the Black Speech 
    of Mordor may yet be heard in every corner of the West , The Ring is altogether 
    evil ,
 "
BOROMIR:," Aye it is a 
    gift! ,A gift to the foes of 
    Mordor. Why not use this Ring ? , Long has my father, the Steward of Gondor kept 
    the forces of Mordor at bey.  By the ,of our people are 
    your lands kept safe.  Give Gondor the weapon of the enemy, let us use 
    it against him  ,
 "
ARAGORN:,"You cannot wield it.  None of us can
    , The One Ring 
    answers to Sauron alone. It has no other master,
 "
BOROMIR:,"and what would a 
    ranger know of this matter ?,
 "
BOROMIR:," Aragorn! This.. is Isildur's heir,
 "
LEGOLAS:,"and heir to the throne of Gondor,
 "
ARAGORN:,"Havo dad, Legolas (,.),
 "
BOROMIR:,"Gondor has 
    no King. , Gondor needs no King ,
 "
GANDALF:,"Aragorn is right.  We cannot use it,
 "
ELROND:," You have 
    only one choice.  The Ring must be destroyed. ,
 "
GIMLI:,"Then what are we waiting for,
 "
"
FRODO:","
    Bilbo once told me his part in this tale would end. That each of us must 
    come and go in the telling. Bilbo�s story was now over. There would be no 
    more journeys for him. , save one. ,
 "
"
BILBO:","
    Tell me again lad, where are we going?,
 "
"
FRODO:","
    To the harbour Bilbo. The elves have accorded you a special honour. A place 
    on the last ship to leave Middle Earth. ,
 "
"
BILBO:","
    Frodo, any chance of seeing that old Ring of mine again? The one I gave you?,
 "
"
FRODO: ","
    I�m sorry uncle. I�m afraid I lost it. ,
 "
"
BILBO:","
    Oh, pity. (He sighs.) I would have like to have held it one last time. ,
 "
"
BILBO:","
    Oh! Well here is a sight I have never seen before. ,
 "
"
GALADRIL:","
    The power of the three rings is ended. The time has come for the dominion of 
    men. ,
 "
"
ELROND:","
     I Aear c�n ven na mar. ,
 "
"
BILBO:","
    I think I�m quite ready for another adventure. ,
 "
"
GANDALF: ","
    Farewell my brave Hobbits. , My work is now finished.
    ,Here at last, on the 
    shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all 
    tears are an evil. , It is time Frodo.
    ,
 "
"
SAM: ","
    What does he mean? ,
 "
"
FRODO: ","
    We set out to save the Shire Sam and it has been saved, but not for me. ,
 "
FRODO:," 
    Better than it was,
 "
GANDALF:,"and the Ring ? , You feel its power growing don't you. I've felt it 
    too.  You must be careful now.  Evil will be drawn to you from 
    outside the Fellowship and I fear from within. ,
 "
FRODO:,"Who then do I trust ?,
 "
GANDALF:,"You must trust to yourself. Trust your own strength. ,
 "
FRODO:,"What do you mean ? ,
 "
GANDALF:,"There are many powers in this world for good or for evil.  
    Some are greater than I am and against some I have not yet been tested,
 "
GIMLI:," Ah!  
    The walls of Moria!,
 "
GIMLI:,"Dwarf doors are invisible when closed ,
 "
GANDALF:,"Yes Gimli! Their own masters cannot find them, if their 
    secrets are forgotten!,
 "
LEGOLAS:,"Why doesn't that surprise me!,
 "
GIMLI:,"Ach!,
 "
GANDALF:,"It reads ""The Doors of Durin, Lord of Moria, Speak Friend 
    and Enter"",
 "
MERRY:,"What do you suppose that means ?,
 "
GANDALF:,"Oh it's quite simple.  If you are a friend, you speak 
    the password and the doors will open , 
    Annon Edhellen, edro hi ammen! (,
    ,
 "
GANDALF:,"Fennas Nogothrim, lasto beth lammen. "
PIPPIN:," Nothing's 
    happening,
 "
"GANDALF:, Gwaihir go! Gwaihir,
 "," Gwaihir go! Gwaihir,
 "
ARAGORN:,"Gandalf.,
 "
GANDALF:,"Gandalf? ,Yes.
That was what they used to call me.
Gandalf the Grey.
That was my name."
GIMLI:,"Gandalf.,
 "
GANDALF:,"I am Gandalf the White.
And I come back to you now......at the turn of the tide.,
 "
GANDALF:,"One stage of your journey is over.
Another begins. We must travel to Edoras with all speed.,
 "
GIMLI:,"Edoras?
That is no short distance!,
 "
ARAGORN:,"We hear of trouble in Rohan.
It goes ill with the king.,
 "
GANDALF:,"Yes, and it will not be easily cured.,
 "
GIMLI:,"Then we have run all this way for nothing?
Are we to leave those poor Hobbits here......in this horrid, dark, dank tree-infested--?
    ,I mean, charming......quite charming forest.,
 "
GANDALF:,"It was more than mere chance that
brought Merry and Pippin to Fangorn.
A great power has been sleeping here
for many long years.
The coming of Merry and Pippin
will be like the falling of small stones......that starts an avalanche
in the mountains.,
 "
ARAGORN:,"In one thing you have not changed,
dear friend.,You still speak in riddles.
    ,
 "
GANDALF:,"A thing is about to happen that has not
happened since the Elder Days.
The Ents are going to wake up.....and find that they are strong.,
 "
GIMLI:,"Strong?! ,Oh, that's good.,
 "
"
FRODO:","
    No Sam. I can�t recall the taste of food, nor the sound of water or the 
    touch of grass. I�m naked in the dark. There�s� there�s nothing, no veil 
    between me and the wheel of fire. ,I can see him with my waking eyes! ,
 "
"
SAM: ","
    Then let us be rid of it once and for all! Come on Mr Frodo, I can�t carry 
    it for you, but I can carry you! Come on! ,
 "
"
EYE OF SAURON: ","
    Aragorn! , 
    Elessar! ,
 "
"
ARAGORN: ","
    For Frodo. ,
 "
"
SAM:","
    Look Mr Frodo, a doorway! We�re almost there! ,
 "
"
GOLLUM: ","
    Clever Hobbits to climb so high! ,Mustn�t go that way. Mustn�t hurt the 
    precious!,
 "
"
FRODO: ","
    You swore! You swore on the precious! ,
 "
"
FRODO: ","
    Smeagol promised! ,
 "
"
GOLLUM:","
    Smeagol lied! ,
    ,
 "
"
SAM: ","
    AAAAAAAAAhhhhhhhhhh!,
 "
"
GOLLUM: ","
    AAAAAHH,
 "
"
SAM:","
    , Frodo!,
 "
"
EOWYN: ","
  No.,
      "
"
THEODEN:","
     I go to my fathers, in whose mighty company; I shall not now feel ashamed. ,
     "
"
THEODEN: ","
     Eowyn. ,
     "
"
KING OF THE DEAD:","
  Release us! ,
     "
"
GIMLI:","
  Bad idea!  Very handy in a tight spot these lads, despite the fact they�re dead.,
     "
"
KING OF THE DEAD: ","
  You gave us your word! ,
     "
"
ARAGORN:","
  I hold your oath fulfilled.  Go.  Be at peace.,
     "
"
PIPPIN: ","
  Merry!,
     "
"
EOMER: ","
  Nooooo! ,
     "
"
EOMER:","
  Nooooooo!  Noooooo! ,
     "
SARUMAN:,"So Gandalf, you try to lead them over Caradhras.  And 
    if that fails, where then will you go ?,
 "
SARUMAN VOICEOVER:,"If the mountain defeats you will you risk a more dangerous 
    road,
 "
SARUMAN:,Cuiva nwalca Carnirasse; nai yarvaxea rasselya! 
LEGOLAS:,"There is a fell voice on the air,
 "
GANDALF:,"It's Saruman!,
 "
ARAGORN:,"He's trying to bring down the mountain! Gandalf! We must 
    turn back!,
 "
GANDALF:,"No! , Losto Caradhras, sedho, hodo, nuitho i 'ruith! ,
 "
SARUMAN:,"Cuiva nwalca Carnirasse; Nai yarvaxea rasselya; taltuva 
    notto-carinnar! "
BOROMIR:,"We must get off the mountain! Make for the Gap of Rohan and 
    take the west road to my city!,
 "
ARAGORN:,"The Gap of Rohan takes us too close to Isengard!,
 "
GIMLI:,"If we cannot pass over the mountain, let us go under it! Let 
    us go through the Mines of Moria,
 "
SARUMAN VOICEOVER:,"Moria... you fear to go into those mines.,
 "
SARUMAN:," the dwarves delved too greadily 
    and too deep,
 "
SARUMAN VOICEOVER:,"You know what they woke in the dark of Khazad-d�m,
 "
SARUMAN:," Shadow, flame,
 "
 GANDALF:,"
      Retreat! The city is breached. Fall back to the second level. Get the 
    women and children out. Get them out. Retreat. ,
 "
SOLDIERS ON GATE:,"
    Come on, come on! ,
 "
GOTHMOG:,"
    Move into the city. Kill all in your path. ,
 "
SOLDIER: ,"
    Take them down! ,
 "
GANDALF:,"
    Fight! Fight to the last man. Fight for your lives. ,
 "
"
EOWYN:","
     The City has fallen silent.  There is no warmth left in the sun.,
       "
"
EOWYN:","
  It grows so cold.,
     "
"
FARAMIR:","
  It�s just the damp of the first spring rain. ,
     "
"
FARAMIR:","
  I do not believe this darkness will endure. ,
     "
"
SAM:","
  Look!  The Orcs, they�re moving off! ,
     "
"
SAM:","
  You see Mr Frodo some luck at last!,
     "
ELROND:,"The Ring cannot be destroyed, Gimli, son of Gloin, by any 
    craft that we here possess. The Ring was made in the fires of Mount Doom.  
    Only there can it be unmade.  It must be taken deep into Mordor and 
    cast back into the firey chasm from whence it came. ,One of you........... must do this,
 "
BOROMIR:,"One does not simply walk into Mordor.  Its black gates 
    are guarded by more than just orcs. There is evil there that does not sleep 
    and the great eye is ever watchful.  Tis a barren wasteland, riddled 
    with fire and ash and dust.  The very air you breathe is a poisonous 
    fume.  Not with ten thousand men could you do this.
    ,It is folly,
 "
LEGOLAS:," Have you 
    heard nothing Lord Elrond has said? The Ring must be destroyed,
 "
GIMLI:,"and I suppose you think you're the one to do it.,
 "
BOROMIR:,"and if we fail what then ? , What happens when Sauron takes back what is his ?,
 "
GIMLI:," I will be 
    dead before I see the Ring in the hands of an elf,
 "
GIMLI:,"Never trust an elf,
 "
GANDALF:,"Do you not understand that while we bicker amongst 
    ourselves, Sauron's power grows?! None can escape it! You'll all be 
    destroyed,
 "
"
SAM:","
    , You don�t mean that. You can�t 
    leave.,
 "
"
FRODO: ","
    The last pages are for you Sam. ,
 "
"
FRODO VOICE OVER:","
    My dear Sam, you cannot always be torn in two. , You will 
    have to be one and whole for many years. You have so much to enjoy and to be 
    and to do. Your part in the story will go on. ,
 "
"
SAM:","
    Well, I�m back.,
 "
GANDALF:," I once knew every spell in all the tongues of elves, men and 
    orcs,
 "
PIPPIN:,"What're you going to do then ?,
 "
GANDALF:,"Knock your head against these doors Peregrin Took! and if 
    that does not shatter them and I'm allowed a little peace from foolish 
    questions I will try to find the opening words.,
 "
GANDALF:,"Ando Eldarinwa�a lasta quettanya, Fenda Casarinwa� "
ARAGORN:,"The Mines are no place for a pony even one so brave as Bill.,
 "
SAM:,"BuBye Bill,
 "
ARAGORN:,"Go on, go on ,Don't worry Sam.  He knows the way home. ,),
 "
ARAGORN:," Do not 
    disturb the water ,
 "
GANDALF:," Oh it's useless,
 "
FRODO:,"It's a riddle! ,
 "
FRODO:,"Speak friend... and enter.  What's the elvish word for 
    friend ?,
 "
GANDALF:,"Mel..lon,
 "
GANDALF:,"So stop your fretting, Master Dwarf.
Merry and Pippin are quite safe.
In fact, they are far safer
than you are about to be.,
 "
GIMLI:,"This new Gandalf's more grumpy
than the old one.,
 "
LEGOLAS:,"That is one of the Mearas......unless my eyes are cheated
by some spell.,
 "
GANDALF: ,"Shadowfax.
He is the lord of all horses......and has been my friend
through many dangers.,
 "
TREEBEARD:," ,
    "
MERRY:,"ls it much further?,
 "
TREEBEARD:,"Bru-ra-hroom. Don't be hasty.
You might call it far, perhaps.
My home lies deep in the forest......near the roots of the mountain.
I told Gandalf I would keep you safe.
And safe is where I'll keep you.
I believe you will enjoy this next one too. ,It's one of my own compositions.
Right."
TREEBEARD:,"Sleep, little Shirelings.
Heed no nightly noise.
Sleep till morning light.
I have business in the forest.
There are many to call.
Many that must come. ,The Shadow lies on Fangorn.
The withering of all woods
is drawing near."
ARAGORN:,"
    You may go no further. ,
 "
ARAGORN: ,"You will not enter Gondor,
 "
BOSON:,"Who are you to deny us passage? ,
 "
ARAGORN:,"Legolas, fire a warning shot past the boson�s ear. ,
 "
GIMLI:,"Mind your aim.,
 "
GIMLI: ,"Oh! , That�s 
    it, right, we warned you! Prepare to be boarded! ,
 "
MERCENARY:,"Boarded, by you and whose army? ,
 "
GANDALF:,"Let the Ringbearer decide,
 "
BOROMIR:,"We cannot stay here! ,This will be the death of the 
    hobbits!,
 "
GANDALF:,"Frodo ?,
 "
FRODO:," We will go through 
    the Mines,
 "
GANDALF:,"So be it,
 "
PIPPIN: ,"
    Gandalf! , 
    Gandalf! Denethor 
has lost his mind. He�s burning Faramir alive! ,
 "
GANDALF:,"
    Up! Quickly! ,
 "
GANDALF: ,"
    , 
    Go back to the abyss! Fall into the nothingness that awaits you and your 
    master! ,
 "
WITCH KING:,"
    Do you not know death when you see it, old man? , This is my hour!
    ,
 "
PIPPIN: ,"
     Gandalf! ,
 "
PIPPIN:  ,"
    AAAAhhh! , ,
 "
WITCH KING: ,"
    You have failed! The world of men will fall. ,
 "
EOWYN:,"
    Courage Merry. Courage for our friends. ,
 "
GOTHMOG:,"
    Form ranks you maggots. Form ranks. Pikes in front, archers behind.
    ,
 "
THEODEN:,"
    Eomer, take your Eored down the left flank,
 "
EOMER:,"
    Flank ready!,
 "
THEODEN:,"
    Gamling, follow the King�s banner down the centre. Grimbold! Take your 
company right after you pass the wall. Forth and fear no darkness! 
    , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall 
be splintered, a sword day, a red day ere the sun rises!!,
 "
EOWYN:,"
    Whatever happens, stay with me. I�ll look after you. ,
 "
THEODEN:,"
    Ride now, ride now! Ride! Ride for ruin and the world�s ending! DEATH!,
 "
ARMY:,"
    DEATH! ,
 "
"
ORC: ","
  Move it, you slugs! ,
     "
"
ORC:","
  Come on!  Faster! ,
     "
"
ORC:","
  Come along you scum! ,  I�ll whip you down to the bone!  Come on!  What have I told you.
    ,  Get up!
    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it! ,
     "
"
ORC: ","
  To the gate you slugs, now move it! ,  Don�t you know we�re at war? ,
     "
"
ORC: ","
  Company halt!  Inspection! ,
     "
"
FRODO: ","
  Sam!  Help me! ,
     "
"
SAM:","
  Mr Frodo! ,
     "
"
SAM:","
  Stand up Mr Frodo.  Stand up!,
     "
"
FRODO:","
  It�s so heavy! ,
     "
"
SAM:","
  Oh no!  What do I do? ,  What do I do? ,
     "
"
FRODO:","
 Hit me!  Hit me Sam!  Start fighting! ,
     "
"
SAM: ","
  Get off of me! ,  Nobody pushes me you filthy maggot!
    ,  Get off of me! ,
     "
"
ORC:","
  Break it up!  Break it up!,
     "
GIMLI:,"Soon Mr Elf, you will enjoy the fabelled hospitality of the 
    dwarves. Roaring fires! Malt Beer! Red Meat off the bone!,
 "
GIMLI:,"This my friend is the home of my cousin Balin and they call 
    it a Mine! ,
 "
GIMLI:,"A Mine!,
 "
BOROMIR:," This isn't 
    a mine, it's a tomb,
 "
GIMLI:," Nooooo! 
    NOOOOOOOOOOoooooooo!,
 "
LEGOLAS:," Goblins! ,
 "
BOROMIR:,"We make for the gap of Rohan.  We should never have 
    come here,
 "
BOROMIR:,"Now get out of here! Get out!,
 "
MERRY AND PIPPIN:,"Frodo! Frodo!,
 "
SAM:,"Strider! , Get off him!
    ,
 "
MERRY:,"Aragorn!,
 "
MERRY:,"Frodo!,
 "
FRODO:,"Strider!,
 "
DENETHOR: ,"
     I am steward of the house of An�rion. Thus have I walked, and thus now 
I will sleep. ,
 "
DENETHOR:  ,"
    Gondor is lost. There is no hope for men. , Why do the fools fly? Better 
to die sooner than late. For die we must. ,
 "
DENETHOR:,"
    No tomb for Denethor and Faramir. No long slow sleep of death 
embalmed. We shall burn like the heathen Kings of old. , Bring wood and oil. ,
 "
GANDALF: ,"
    Steady! Steady! ,
 "
GANDALF:,"
    You are soldiers of Gondor. No matter what comes through that gate you 
will stand your ground.,
 "
GANDALF: ,"
    Volley! , Fire! ,
 "
SAM:,"
    Let him go, you filth! Let him go! ,
 "
SAM:,"
    You will not touch him again! , Come on then, finish 
it! ,
 "
SAM:,"
    Back! ,
 "
ARAGORN:,"This army. ,
 "
GOLLUM: ,"In there. ,
 "
FRODO: ," What is this place? ,
 "
GOLLUM:,"Master must go inside the tunnel. ,
 "
FRODO:,"Now that I�m here I don�t think I want to. ,
 "
GOLLUM: ,"It�s the only way. Go in� or go back. ,
 "
FRODO:,"I can�t go back. ,
 "
FRODO:,"What�s that smell.,
 "
GOLLUM:,"Orcses� filth. Orcses come in here sometimes. ,
 "
GOLLUM:,"Hurry! This way.,
 "
FRODO:,"Smeagol? ,
 "
GOLLUM:,"Over here. ,
 "
FRODO:,"Ah aah! Its sticky, what is it? ,
 "
GOLLUM:," You�ll see. Oh yes, you 
    will see.,
 "
FRODO:,"Smeagol? (shouts) SMEAGOL! SMEAGOL! ,
 "
FRODO:,"Sam. ,
 "
THEODEN: ,"
    DEATH! ,
 "
ARMY:,"
    DEATH! ,
 "
THEODEN:,"
    DEATH! ,
 "
THEODEN:,"
    DEATH! ,
 "
EOWYN/MERRY:,"
    DEATH! ,
 "
THEODEN: ,"
    Forth Eorlingas! ,
 "
GOTHMOG:,"
    FIRE! "
MERRY:  ,"
    DEEEEAAATH!,
 "
THEODEN:,"
    CHAAAAARGE! ,
 "
GOTHMOG:,"
    Fire at will! ,
 "
DENETHOR:,"
    Set a fire in our flesh! ,
 "
GANDALF:,"
    Stay this madness! ,
 "
DENETHOR: ,"
    You may triumph in the field of battle for a day, but against the power that 
    has risen in the east, there is no victory! ,
 "
"
GENERAL:","
  Oy!  I�ll have your guts if you don�t shut this rabble down! ,
     "
"
FRODO: ","
     Go Sam.  Now! ,
     "
"
GENERAL:","
  Move along scum! ,
     "
"
CAPTAIN:","
  Get back in the line you maggots!  Get back in the line you slugs! ,
     "
"
FRODO:","
  I can�t!  I can�t� I can�t manage the Ring Sam.  It�s� it�s� such a weight to carry.  It�s such a weight.
    ,
     "
"
SAM:","
    ,  We�re going that way, straight as we can.  There�s no point carrying anything we�re not sure to need. ,
     "
